artist,billboard_request_time,billboard_url,date,genre,lyrics_body,lyrics_retrieval_time,song,year
bruno mars,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-01-05,hot_100,,Wed Sep 24 23:06:11 2014,locked out of heaven,2013
bruno mars,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-01-12,hot_100,,Wed Sep 24 23:06:11 2014,locked out of heaven,2013
bruno mars,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-01-19,hot_100,,Wed Sep 24 23:06:11 2014,locked out of heaven,2013
bruno mars,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-01-26,hot_100,,Wed Sep 24 23:06:12 2014,locked out of heaven,2013
macklemore & ryan lewis featuring wanz,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-02-02,hot_100,,Wed Sep 24 23:06:12 2014,thrift shop,2013
macklemore & ryan lewis featuring wanz,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-02-09,hot_100,,Wed Sep 24 23:06:12 2014,thrift shop,2013
macklemore & ryan lewis featuring wanz,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-02-16,hot_100,,Wed Sep 24 23:06:12 2014,thrift shop,2013
macklemore & ryan lewis featuring wanz,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-02-23,hot_100,,Wed Sep 24 23:06:12 2014,thrift shop,2013
baauer,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-03-02,hot_100,,Wed Sep 24 23:06:12 2014,harlem shake,2013
baauer,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-03-09,hot_100,,Wed Sep 24 23:06:13 2014,harlem shake,2013
baauer,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-03-16,hot_100,,Wed Sep 24 23:06:13 2014,harlem shake,2013
baauer,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-03-23,hot_100,,Wed Sep 24 23:06:13 2014,harlem shake,2013
baauer,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-03-30,hot_100,,Wed Sep 24 23:06:13 2014,harlem shake,2013
macklemore & ryan lewis featuring wanz,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-04-06,hot_100,,Wed Sep 24 23:06:13 2014,thrift shop,2013
macklemore & ryan lewis featuring wanz,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-04-13,hot_100,,Wed Sep 24 23:06:14 2014,thrift shop,2013
bruno mars,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-04-20,hot_100,,Wed Sep 24 23:06:14 2014,when i was your man,2013
p!nk featuring nate ruess,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-04-27,hot_100,,Wed Sep 24 23:06:14 2014,just give me a reason,2013
p!nk featuring nate ruess,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-05-04,hot_100,,Wed Sep 24 23:06:14 2014,just give me a reason,2013
p!nk featuring nate ruess,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-05-11,hot_100,,Wed Sep 24 23:06:15 2014,just give me a reason,2013
macklemore & ryan lewis featuring ray dalton,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-05-18,hot_100,,Wed Sep 24 23:06:15 2014,can't hold us,2013
macklemore & ryan lewis featuring ray dalton,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-05-25,hot_100,,Wed Sep 24 23:06:15 2014,can't hold us,2013
macklemore & ryan lewis featuring ray dalton,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-06-01,hot_100,,Wed Sep 24 23:06:15 2014,can't hold us,2013
macklemore & ryan lewis featuring ray dalton,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-06-08,hot_100,,Wed Sep 24 23:06:15 2014,can't hold us,2013
macklemore & ryan lewis featuring ray dalton,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-06-15,hot_100,,Wed Sep 24 23:06:16 2014,can't hold us,2013
robin thicke featuring t.i. + pharrell,1411599971.07,http://www.billboard.com/archive/charts/2013/hot-100,2013-06-22,hot_100,,Wed Sep 24 23:06:16 2014,blurred lines,2013
